monitoringSiteIdentifier,monitoringSiteIdentifierScheme,phenomenonTimeReferenceYear,observedPropertyDeterminandCode,observedPropertyDeterminandLabel,resultEmissionsUom,resultEmissionsValue,procedureEstimateDetail,resultObservationStatus,Remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_120-12-7,Anthracene,kg/a,0.03214114848,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4407
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_126833-17-8,Fenhexamid,kg/a,0.167401815,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4408
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_127-18-4,Tetrachloroethylene,kg/a,3.68283993,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4409
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_129-00-0,Pyrene,kg/a,0.03973003076,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4410
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_135410-20-7,Ethanimidamide,kg/a,0.133921452,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4411
IT19RW03902,eionetMonitoringSiteCode,2020,CAS_138261-41-3,Imidacloprid,kg/a,1.3224743385,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B08 """"Oreto"""" del """"PIANO DI TUTELA DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"""".  La distanza della foce dalla stazione di monitoraggio è circa 4 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4425
IT19-R1905400001,eionetMonitoringSiteCode,2020,CAS_138261-41-3,Imidacloprid,kg/a,0.192366366666667,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B15 ""Arena"" del ""PIANO DI TUTELA DELLE ACQUE DELLA SICILIA -DICEMBRE 2007"".  La distanza della foce dalla stazione di monitoraggio è circa 2 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,A,,4448
IT19-R1909600001,eionetMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,19.6360288,FloodN,,"Calcolato moltiplicando la concentrazione media annuale dei parametri,  estratti dal monitoraggio WISE-6 anno 2020, per la portata media annuale presente nell'Allegato B38 ""Alcantara"" del ""PIANO DI GESTIONE DELLE ACQUE DELLA SICILIA - DICEMBRE 2007"".  La distanza della foce dalla stazione di monitoraggio è circa 1 Km.",https://cdr.eionet.europa.eu/it/eea/wise_soe/wise1/envyd1prq/Italy_WISE-1_2020._RiverineInputLoads.xml,2022-01-11 12:36:38.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4458
ESART202,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,1.46401757820194,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4480
ESASU160,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,0.35536554163288,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4492
ESBAR190,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,0.917325960182639,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4504
ESBID555,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,12.1218675134752,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4515
ESBUT226,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,5.41099451808479,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4527
ESDEB492,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,19.9318492828986,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4539
ESGAL095,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,0.0643688672842105,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4551
ESIBA518,euMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,39.9350338908631,,,Upper emissions value following OSPAR procedure,https://cdr.eionet.europa.eu/es/eea/wise_soe/wise1/envyffmbg/Emissions_ES_2020_Rivers_RiverineInputLoads.xml,2022-02-02 13:20:43.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4562
SE733351-187900,eionetMonitoringSiteCode,2020,CAS_14265-44-2,Phosphate,t/a,53.2,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4345
SE733351-187900,eionetMonitoringSiteCode,2016,CAS_14265-44-2,Phosphate,t/a,57.8,FloodY,,,https://cdr.eionet.europa.eu/se/eea/wise_soe/wise1/envycf7qa/Emissions_2020_data_Sweden_RiverineInputLoads.xml,2021-12-21 09:47:50.000,valid,U,QC_UOM_ERROR: The present resultEmissionsUom value is not an accepted one for this observedPropertyDeterminandCode value in this table (kg/a),4261
