Number,Data
404,K3M
405,K3S
406,"KH - 1,5"
407,KH - I-II B
408,KH - ot
409,"KV - 1,75"
410,KV - I-II A
411,KV - I-II B
412,KV - om
413,Kh
414,Kk
415,Ksa
416,Kt
417,L11
418,L12
419,L13
420,L14
421,L15
422,L16
423,L2
424,L3
425,L4
426,L5
427,L6
428,LA
429,LIM_RIV_MOY
430,LIM_RUI_MOY
431,LW_SI_11_PN-gric_<3_1-10
432,LW_SI_11_PN-gric_<3_<1
433,LW_SI_11_PN-zAL_3-15_1-10
434,LW_SI_11_PN-zAL_3-15_<1
435,LW_SI_3_Vip-Brda_3-15_<1
436,LW_SI_4_ PA-D _>15_1-10
437,LW_SI_4_KB-D_>15_1-10
438,LW_SI_4_PA-D_>15_1-10
439,"Low Alkalinity, Shallow, Large, Lowland"
440,Lowland Calcareous Medium
441,Lowland Calcareous Small
442,Lowland High alkalinity Large Deep
443,Lowland High alkalinity Large Shallow
444,Lowland Low alkalinity Large Deep
445,Lowland Medium alkalinity Large Deep
446,Lowland Medium alkalinity Large Shallow
447,Lowland Organic Medium
448,Lowland Organic Small
449,Lowland Peat Large Deep
450,Lowland Siliceous Medium
451,Lowland Siliceous Small
452,M1
453,M1   
454,M1(P1V)
455,M10
456,M10/4
457,M10|NL13_21
458,M10|NL13_22
459,M10|NL13_23
460,M10|NL13_30
461,M10|NL13_32_2
462,M10|NL13_33_2
463,M10|NL13_34
464,M10|NL13_45
465,M10|NL14_11
466,M10|NL14_20
467,M10|NL14_22
468,M10|NL14_29
469,M10|NL15_06
470,M11/3-21
471,M12-A
472,M12-B
473,M13
474,M14
475,M14/1
476,M14/3-11
477,M14/3-8
478,M14|NL13_06_2
479,M14|NL13_08_2
480,M14|NL13_14
481,M14|NL13_16_2
482,M14|NL92_KETELMEER_VOSSEMEER
483,M14|NL92_RANDMEREN_OOST
484,M14|NL92_RANDMEREN_ZUID
485,M15-17/3-21
486,M16-A
487,M16-B
488,M18/4
489,M1a|NL05_Westerbouwlandl
490,M1a|NL14_01
491,M1a|NL14_03
492,M1a|NL14_04
493,M1a|NL14_06
494,M1a|NL14_19
495,M1a|NL14_32
496,M1a|NL36_OWM_007
497,M1a|NL36_OWM_013
498,M1a|NL36_OWM_015
499,M1a|NL36_OWM_016
500,M1a|NL36_OWM_017
501,M1a|NL36_OWM_018
502,M2
503,M2   
504,M20
505,M20|NL13_01
506,M20|NL13_02
507,M20|NL13_03
508,M20|NL13_04
509,M20|NL13_05
510,M20|NL13_09
511,M20|NL13_10
512,M20|NL89_volkerak
513,M20|NL89_zoommedt
514,M21
