Number,Data
0,AT
1,BE
2,BG
3,CY
4,DE
5,EE
6,ES
7,FI
8,FR
9,HR
10,IE
11,IT
12,LT
13,LU
14,LV
15,NL
16,NO
17,PL
18,PT
19,RO
20,SE
21,SI
22,SK
23,UK
